Date,Description,Amount,Category
2025-12-04,transaction at zee5,758.6,Entertainment
2025-09-08,transaction at redbus,1123.58,Transport
2025-05-27,transaction at nike,962.0,Clothing
2025-04-12,transaction at samsung store,16602.59,Electronics
2025-09-22,transaction at dmart,2102.28,Grocery
2025-01-16,transaction at metro rail,926.51,Transport
2025-12-08,transaction at apollo hospital,13258.06,Healthcare
2025-08-12,transaction at apollo hospital,19125.2,Healthcare
2025-03-04,transaction at vodafone idea,5731.95,Bills
2025-09-27,transaction at mi store,58581.56,Electronics
2025-09-20,transaction at flipkart,566.87,Online Shopping
2025-08-26,transaction at metro rail,745.89,Transport
2025-07-04,transaction at more supermarket,4929.1,Grocery
2025-07-18,transaction at uber,1311.53,Transport
2025-03-23,transaction at pharmeasy,17197.62,Healthcare
2025-06-02,transaction at boat lifestyle,38238.26,Electronics
2025-06-02,transaction at pepperfry,7542.11,Online Shopping
2025-07-28,transaction at dell exclusive,31707.19,Electronics
2025-07-11,transaction at puma,1649.96,Clothing
2025-01-31,transaction at apollo hospital,19833.79,Healthcare
2025-03-25,transaction at paradise biryani,518.26,Food
2025-08-02,transaction at jiomart,3823.39,Grocery
2025-06-04,transaction at nature's basket,4779.51,Grocery
2025-10-25,transaction at bigbazaar,4073.54,Grocery
2025-10-15,transaction at puma,2389.46,Clothing
2025-08-13,transaction at act fibernet,2465.76,Bills
2025-05-17,transaction at zara,1412.52,Clothing
2025-12-06,transaction at apple music,607.69,Entertainment
2025-03-24,transaction at jio fiber,3604.11,Bills
2025-04-16,transaction at mcdonalds,1301.23,Food
2025-03-18,transaction at act fibernet,2752.93,Bills
2025-07-08,transaction at oyo,23059.53,Travel
2025-12-05,transaction at hp world,14877.76,Electronics
2025-07-23,transaction at us polo,4850.75,Clothing
2025-07-09,transaction at meru cabs,477.9,Transport
2025-09-27,transaction at oyo,24801.03,Travel
2025-10-22,transaction at flipkart,286.76,Online Shopping
2025-11-19,transaction at dmart,4783.12,Grocery
2025-03-01,transaction at dmart,3152.52,Grocery
2025-10-23,transaction at hp world,101116.47,Electronics
2025-06-11,transaction at a2b,1116.87,Food
2025-07-06,transaction at apple music,488.23,Entertainment
2025-11-21,transaction at sonyliv,524.95,Entertainment
2025-10-06,transaction at amazon,11223.33,Online Shopping
2025-05-22,transaction at aster,16352.63,Healthcare
2025-01-16,transaction at redbus,1971.01,Transport
2025-11-12,transaction at amazon prime,535.24,Entertainment
2025-01-11,transaction at star bazaar,3159.43,Grocery
2025-06-10,transaction at makemytrip,640.84,Travel
2025-07-05,transaction at indigo,28206.88,Travel
2025-06-09,transaction at reliance fresh,2198.81,Grocery
2025-12-28,transaction at vivo store,4935.16,Electronics
2025-12-11,transaction at bmtc,1673.93,Transport
2025-02-27,transaction at nature's basket,1159.72,Grocery
2025-09-05,transaction at burger king,821.55,Food
2025-10-18,transaction at amazon prime,176.3,Entertainment
2025-09-20,transaction at irctc,3978.95,Travel
2025-02-27,transaction at act fibernet,5296.41,Bills
2025-02-13,transaction at wrogn,2251.02,Clothing
2025-08-14,transaction at jio fiber,1730.49,Bills
2025-03-29,transaction at jio fiber,1374.86,Bills
2025-07-08,transaction at kauvery,7809.54,Healthcare
2025-03-23,transaction at bmtc,655.93,Transport
2025-07-31,transaction at hotstar,851.05,Entertainment
2025-06-29,transaction at allen solly,939.33,Clothing
2025-11-11,transaction at rapido,498.47,Transport
2025-04-26,transaction at zee5,234.22,Entertainment
2025-09-15,transaction at youtube premium,691.42,Entertainment
2025-05-19,transaction at dell exclusive,79491.82,Electronics
2025-09-20,transaction at boat lifestyle,146331.65,Electronics
2025-07-19,transaction at fortis,1297.44,Healthcare
2025-01-28,transaction at tsrtc,1651.99,Transport
2025-12-23,transaction at medplus,3550.2,Healthcare
2025-04-20,transaction at water board,5928.27,Bills
2025-05-21,transaction at uber,1209.25,Transport
2025-06-12,transaction at spencers,2999.86,Grocery
2025-03-16,transaction at youtube premium,484.4,Entertainment
2025-08-06,transaction at tata cliq,8840.36,Online Shopping
2025-12-25,transaction at gas agency,209.64,Bills
2025-12-01,transaction at netflix,790.81,Entertainment
2025-09-07,transaction at yulu bikes,1098.48,Transport
2025-11-23,transaction at levis,3014.29,Clothing
2025-07-31,transaction at samsung store,50016.88,Electronics
2025-07-31,transaction at youtube premium,253.51,Entertainment
2025-02-23,transaction at saravana bhavan,310.8,Food
2025-03-21,transaction at allen solly,5466.37,Clothing
2025-03-06,transaction at kauvery,7040.07,Healthcare
2025-09-29,transaction at zee5,607.1,Entertainment
2025-03-11,transaction at hotstar,749.91,Entertainment
2025-07-28,transaction at yatra,5642.0,Travel
2025-07-19,transaction at netmeds,631.93,Healthcare
2025-10-08,transaction at sonyliv,589.94,Entertainment
2025-07-28,transaction at netflix,578.47,Entertainment
2025-05-15,transaction at tsrtc,522.06,Transport
2025-08-01,transaction at netflix,537.56,Entertainment
2025-09-01,transaction at nilgiris,3891.9,Grocery
2025-04-05,transaction at vistara,14203.67,Travel
2025-07-26,transaction at bsnl,468.96,Bills
2025-04-14,transaction at pharmeasy,5037.71,Healthcare
2025-06-02,transaction at zee5,425.49,Entertainment
2025-05-16,transaction at yulu bikes,190.7,Transport
2025-02-21,transaction at bigbazaar,1816.51,Grocery
2025-04-06,transaction at makemytrip,11530.4,Travel
2025-01-15,transaction at levis,1520.24,Clothing
2025-01-21,transaction at puma,5466.06,Clothing
2025-07-19,transaction at bmtc,349.03,Transport
2025-07-21,transaction at jiomart,909.13,Grocery
2025-01-19,transaction at water board,5152.11,Bills
2025-03-30,transaction at nature's basket,457.84,Grocery
2025-07-10,transaction at tsrtc,285.51,Transport
2025-06-20,transaction at saravana bhavan,965.8,Food
2025-11-30,transaction at spotify,773.0,Entertainment
2025-08-29,transaction at pantaloons,4596.03,Clothing
2025-08-16,transaction at mcdonalds,1341.12,Food
2025-01-18,transaction at noise,135639.59,Electronics
2025-12-17,transaction at mi store,108589.35,Electronics
2025-12-05,transaction at pepperfry,5348.52,Online Shopping
2025-07-13,transaction at jio fiber,1887.68,Bills
2025-07-21,transaction at adidas,879.51,Clothing
2025-05-01,transaction at kfc,1286.83,Food
2025-08-20,transaction at spotify,646.66,Entertainment
2025-04-21,transaction at 1mg,143.98,Healthcare
2025-12-26,transaction at gaana,681.09,Entertainment
2025-11-30,transaction at samsung store,142335.33,Electronics
2025-12-12,transaction at airtel,4867.06,Bills
2025-09-04,transaction at dell exclusive,108503.42,Electronics
2025-05-02,transaction at rapido,1706.19,Transport
2025-04-11,transaction at netflix,576.59,Entertainment
2025-07-16,transaction at redbus,107.32,Transport
2025-05-15,transaction at barbeque nation,164.68,Food
2025-12-18,transaction at metro rail,760.93,Transport
2025-09-30,transaction at vodafone idea,2807.76,Bills
2025-07-25,transaction at airtel,4482.73,Bills
2025-08-27,transaction at noise,92164.99,Electronics
2025-01-23,transaction at sonyliv,587.47,Entertainment
2025-03-19,transaction at airtel,3858.0,Bills
2025-02-13,transaction at ola,66.7,Transport
2025-04-07,transaction at uber,1814.75,Transport
2025-12-11,transaction at gas agency,5382.03,Bills
2025-09-08,transaction at amazon prime,169.81,Entertainment
2025-01-13,transaction at metro rail,1297.2,Transport
2025-09-21,transaction at levis,4447.13,Clothing
2025-07-03,transaction at metro rail,854.7,Transport
2025-08-17,transaction at act fibernet,5309.96,Bills
2025-12-03,transaction at apple music,775.61,Entertainment
2025-08-26,transaction at hotstar,550.41,Entertainment
2025-11-12,transaction at spencers,2613.92,Grocery
2025-06-14,transaction at yatra,9915.56,Travel
2025-12-25,transaction at aha,850.46,Entertainment
2025-08-20,transaction at jiomart,2852.53,Grocery
2025-10-24,transaction at sony center,53961.41,Electronics
2025-09-03,transaction at meru cabs,826.16,Transport
2025-10-20,transaction at act fibernet,5029.87,Bills
2025-05-02,transaction at kauvery,12716.61,Healthcare
2025-04-27,transaction at h&m,7129.58,Clothing
2025-03-05,transaction at mcdonalds,759.62,Food
2025-12-28,transaction at snapdeal,358.96,Online Shopping
2025-03-02,transaction at bmtc,1509.21,Transport
2025-08-03,transaction at irctc,1859.33,Travel
2025-06-28,transaction at sonyliv,889.59,Entertainment
2025-02-09,transaction at vivo store,66136.49,Electronics
2025-08-17,transaction at water board,1019.65,Bills
2025-01-16,transaction at vivo store,92748.59,Electronics
2025-01-28,transaction at booking.com,25533.41,Travel
2025-11-14,transaction at air india,1130.03,Travel
2025-06-04,transaction at mi store,55246.56,Electronics
2025-05-07,transaction at sonyliv,859.35,Entertainment
2025-01-11,transaction at dell exclusive,14122.69,Electronics
2025-08-28,transaction at ccd,1060.84,Food
2025-08-05,transaction at max fashion,5945.68,Clothing
2025-08-30,transaction at vivo store,127722.09,Electronics
2025-04-20,transaction at flipkart,2433.45,Online Shopping
2025-11-28,transaction at vodafone idea,3175.29,Bills
2025-03-18,transaction at paradise biryani,483.57,Food
2025-06-12,transaction at apollo pharmacy,4264.4,Healthcare
2025-12-24,transaction at yatra,2658.22,Travel
2025-07-18,transaction at act fibernet,5600.23,Bills
2025-09-06,transaction at pizza hut,704.03,Food
2025-07-19,transaction at star bazaar,1712.0,Grocery
2025-03-10,transaction at netflix,650.49,Entertainment
2025-09-28,transaction at tsrtc,1832.42,Transport
2025-10-13,transaction at vistara,24941.9,Travel
2025-08-28,transaction at amazon prime,294.2,Entertainment
2025-12-07,transaction at croma,133441.33,Electronics
2025-05-31,transaction at max fashion,6567.11,Clothing
2025-06-07,transaction at asus store,36950.21,Electronics
2025-05-08,transaction at zara,5294.32,Clothing
2025-08-10,transaction at mi store,67650.08,Electronics
2025-09-24,transaction at property tax online,1439.73,Bills
2025-07-11,transaction at ola,381.13,Transport
2025-01-28,transaction at zara,7427.75,Clothing
2025-03-11,transaction at apple store,94787.15,Electronics
2025-09-25,transaction at ccd,320.24,Food
2025-09-09,transaction at apollo pharmacy,9056.75,Healthcare
2025-03-21,transaction at oneplus,42520.16,Electronics
2025-08-29,transaction at indigo,24634.82,Travel
2025-10-29,transaction at yulu bikes,783.3,Transport
2025-07-21,transaction at nike,3589.14,Clothing
2025-04-15,transaction at sony center,130769.25,Electronics
2025-06-27,transaction at flipkart,14249.83,Online Shopping
2025-08-27,transaction at tata cliq,5130.67,Online Shopping
2025-04-26,transaction at reliance fresh,2210.33,Grocery
2025-12-20,transaction at jio fiber,3379.39,Bills
2025-06-26,transaction at netflix,323.89,Entertainment
2025-05-01,transaction at saravana bhavan,1373.49,Food
2025-01-11,transaction at mcdonalds,832.06,Food
2025-01-03,transaction at metro rail,1198.27,Transport
2025-05-22,transaction at youtube premium,682.19,Entertainment
2025-04-28,transaction at vivo store,23595.43,Electronics
2025-06-07,transaction at 1mg,8503.35,Healthcare
2025-09-25,transaction at nature's basket,464.29,Grocery
2025-07-05,transaction at redbus,185.62,Transport
2025-12-10,transaction at star bazaar,878.85,Grocery
2025-09-01,transaction at pepperfry,6602.31,Online Shopping
2025-05-13,transaction at goibibo,19512.95,Travel
2025-11-30,transaction at h&m,3660.58,Clothing
2025-11-13,transaction at bigbazaar,283.91,Grocery
2025-10-28,transaction at rapido,1611.78,Transport
2025-02-05,transaction at goibibo,20562.67,Travel
2025-01-21,transaction at 1mg,4372.62,Healthcare
2025-08-05,transaction at spencers,4757.68,Grocery
2025-07-20,transaction at amazon prime,547.65,Entertainment
2025-06-20,transaction at bsnl,2952.37,Bills
2025-03-18,transaction at medplus,4821.2,Healthcare
2025-10-31,transaction at noise,124289.1,Electronics
2025-09-08,transaction at amazon,9011.81,Online Shopping
2025-05-02,transaction at nilgiris,205.84,Grocery
2025-08-11,transaction at aha,859.26,Entertainment
2025-03-02,transaction at netmeds,11498.46,Healthcare
2025-08-10,transaction at amazon,17755.57,Online Shopping
2025-10-05,transaction at apollo hospital,9134.79,Healthcare
2025-08-03,transaction at jiomart,4216.61,Grocery
2025-11-14,transaction at rapido,499.69,Transport
2025-01-21,transaction at makemytrip,14252.88,Travel
2025-08-08,transaction at yatra,9989.62,Travel
2025-10-15,transaction at dmart,1666.05,Grocery
2025-02-28,transaction at burger king,405.39,Food
2025-10-01,transaction at nilgiris,4853.78,Grocery
2025-06-20,transaction at water board,553.91,Bills
2025-05-25,transaction at jiomart,1512.5,Grocery
2025-06-28,transaction at reliance digital,144078.13,Electronics
2025-04-28,transaction at mi store,56109.46,Electronics
2025-07-17,transaction at apple store,50233.05,Electronics
2025-02-23,transaction at tata cliq,19851.25,Online Shopping
2025-01-06,transaction at nykaa,7049.25,Online Shopping
2025-07-04,transaction at indigo,7819.07,Travel
2025-10-22,transaction at makemytrip,8415.36,Travel
2025-08-08,transaction at pepperfry,19219.37,Online Shopping
2025-11-24,transaction at kfc,1290.28,Food
2025-10-04,transaction at dominos,437.35,Food
2025-09-08,transaction at airasia,26793.52,Travel
2025-10-11,transaction at oneplus,88734.45,Electronics
2025-10-01,transaction at rapido,1870.68,Transport
2025-06-16,transaction at samsung store,42400.58,Electronics
2025-08-11,transaction at gas agency,1534.07,Bills
2025-01-31,transaction at uber,1923.06,Transport
2025-10-14,transaction at nykaa,1185.47,Online Shopping
2025-04-08,transaction at puma,929.92,Clothing
2025-01-15,transaction at sonyliv,533.46,Entertainment
2025-11-02,transaction at meru cabs,1694.09,Transport
2025-08-27,transaction at samsung store,135305.43,Electronics
2025-12-18,transaction at meesho,12643.0,Online Shopping
2025-04-29,transaction at fortis,10604.59,Healthcare
2025-08-30,transaction at bsnl,4223.78,Bills
2025-11-09,transaction at puma,3579.47,Clothing
2025-08-20,transaction at allen solly,4545.81,Clothing
2025-04-23,transaction at indigo,28427.3,Travel
2025-05-19,transaction at property tax online,2607.26,Bills
2025-07-22,transaction at vodafone idea,1078.03,Bills
2025-05-17,transaction at aster,2910.19,Healthcare
2025-11-08,transaction at pantaloons,2350.47,Clothing
2025-12-15,transaction at lenskart,6917.11,Online Shopping
2025-11-25,transaction at aha,124.71,Entertainment
2025-06-05,transaction at lenskart,11815.71,Online Shopping
2025-04-03,transaction at medplus,12811.89,Healthcare
2025-07-11,transaction at us polo,6257.24,Clothing
2025-02-22,transaction at 1mg,4218.64,Healthcare
2025-05-11,transaction at levis,4866.36,Clothing
2025-05-25,transaction at vodafone idea,1998.65,Bills
2025-03-19,transaction at kauvery,7454.69,Healthcare
2025-09-21,transaction at burger king,696.54,Food
2025-11-26,transaction at dmart,944.6,Grocery
2025-11-15,transaction at pantaloons,4576.88,Clothing
2025-03-28,transaction at air india,26465.55,Travel
2025-08-18,transaction at zee5,943.39,Entertainment
2025-12-02,transaction at yulu bikes,384.45,Transport
2025-02-13,transaction at dell exclusive,13275.14,Electronics
2025-01-22,transaction at samsung store,13940.59,Electronics
2025-12-03,transaction at zara,1727.17,Clothing
2025-03-23,transaction at puma,2279.28,Clothing
2025-10-13,transaction at irctc,9639.1,Travel
2025-03-11,transaction at nilgiris,2398.55,Grocery
2025-06-03,transaction at asus store,86163.84,Electronics
2025-06-13,transaction at hp world,111282.19,Electronics
2025-10-08,transaction at bigbazaar,3365.54,Grocery
2025-07-04,transaction at boat lifestyle,130222.15,Electronics
2025-04-15,transaction at reliance fresh,2632.12,Grocery
2025-11-28,transaction at fortis,3482.26,Healthcare
2025-05-23,transaction at rapido,616.19,Transport
2025-12-15,transaction at apollo hospital,19668.04,Healthcare
2025-06-30,transaction at bmtc,806.24,Transport
2025-02-10,transaction at tsrtc,1918.24,Transport
2025-02-24,transaction at asus store,16273.23,Electronics
2025-08-14,transaction at dell exclusive,137861.13,Electronics
2025-01-18,transaction at nykaa,4621.93,Online Shopping
2025-01-21,transaction at sonyliv,485.8,Entertainment
2025-01-18,transaction at youtube premium,319.57,Entertainment
2025-09-30,transaction at myntra,3989.52,Online Shopping
2025-04-15,transaction at zee5,866.9,Entertainment
2025-12-06,transaction at burger king,848.66,Food
2025-06-22,transaction at air india,9039.33,Travel
2025-09-11,transaction at hotstar,713.45,Entertainment
2025-05-09,transaction at yatra,28053.2,Travel
2025-07-03,transaction at reliance fresh,2972.75,Grocery
2025-05-02,transaction at meru cabs,1034.54,Transport
2025-03-28,transaction at boat lifestyle,130878.31,Electronics
2025-08-04,transaction at apple store,121281.21,Electronics
2025-09-19,transaction at aha,906.79,Entertainment
2025-03-19,transaction at act fibernet,3114.42,Bills
2025-06-10,transaction at indigo,15811.57,Travel
2025-01-18,transaction at pharmeasy,17579.58,Healthcare
2025-05-05,transaction at zee5,944.71,Entertainment
2025-05-26,transaction at boat lifestyle,30941.12,Electronics
2025-09-23,transaction at nilgiris,4114.69,Grocery
2025-07-07,transaction at indigo,10686.84,Travel
2025-06-25,transaction at flipkart,16637.23,Online Shopping
2025-07-24,transaction at airtel,3137.48,Bills
2025-06-13,transaction at samsung store,76007.97,Electronics
2025-08-30,transaction at tneb,3380.87,Bills
2025-05-01,transaction at star bazaar,1177.37,Grocery
2025-09-13,transaction at spencers,1458.15,Grocery
2025-10-02,transaction at uber,1132.2,Transport
2025-06-18,transaction at max fashion,3511.29,Clothing
2025-12-01,transaction at ola,253.6,Transport
2025-02-09,transaction at oyo,4022.34,Travel
2025-04-25,transaction at booking.com,7938.85,Travel
2025-04-18,transaction at jiomart,953.63,Grocery
2025-04-08,transaction at tata cliq,6378.67,Online Shopping
2025-03-07,transaction at 1mg,13258.71,Healthcare
2025-05-17,transaction at nike,7571.87,Clothing
2025-04-01,transaction at redbus,719.38,Transport
2025-08-30,transaction at meru cabs,1996.63,Transport
2025-01-22,transaction at starbucks,1063.59,Food
2025-06-18,transaction at saravana bhavan,755.39,Food
2025-04-25,transaction at nike,1374.84,Clothing
2025-07-30,transaction at act fibernet,1453.81,Bills
2025-02-13,transaction at water board,1101.52,Bills
2025-03-02,transaction at star bazaar,605.55,Grocery
2025-07-21,transaction at bmtc,1586.46,Transport
2025-10-06,transaction at apple music,472.0,Entertainment
2025-03-27,transaction at uber,377.95,Transport
2025-10-19,transaction at spencers,2782.74,Grocery
2025-06-26,transaction at amazon,10718.93,Online Shopping
2025-06-30,transaction at oneplus,52662.59,Electronics
2025-05-17,transaction at ccd,334.85,Food
2025-01-12,transaction at goibibo,7622.82,Travel
2025-09-17,transaction at spencers,1954.96,Grocery
2025-10-19,transaction at pantaloons,3376.6,Clothing
2025-05-23,transaction at metro rail,1171.69,Transport
2025-09-11,transaction at amazon prime,348.28,Entertainment
2025-01-28,transaction at 1mg,19647.12,Healthcare
2025-12-14,transaction at bigbazaar,1790.99,Grocery
2025-12-02,transaction at hotstar,253.94,Entertainment
2025-12-09,transaction at airtel,262.08,Bills
2025-12-25,transaction at 1mg,17519.65,Healthcare
2025-03-08,transaction at reliance digital,85222.62,Electronics
2025-08-17,transaction at h&m,5927.61,Clothing
2025-07-25,transaction at metro rail,1655.87,Transport
2025-12-17,transaction at jio fiber,5738.35,Bills
2025-01-28,transaction at tneb,4851.88,Bills
2025-01-25,transaction at cloudnine,324.01,Healthcare
2025-01-25,transaction at pepperfry,7142.65,Online Shopping
2025-11-21,transaction at ccd,474.74,Food
2025-04-23,transaction at netflix,597.74,Entertainment
2025-01-24,transaction at wrogn,2762.96,Clothing
2025-04-14,transaction at ola,571.06,Transport
2025-01-31,transaction at booking.com,21983.23,Travel
2025-09-10,transaction at adidas,5039.96,Clothing
2025-08-31,transaction at pizza hut,860.87,Food
2025-04-29,transaction at mcdonalds,1195.86,Food
2025-01-18,transaction at bsnl,1985.56,Bills
2025-11-14,transaction at air india,6837.32,Travel
2025-02-25,transaction at ajio,17317.51,Online Shopping
2025-07-10,transaction at cream stone,829.23,Food
2025-08-07,transaction at apple store,68606.18,Electronics
2025-10-09,transaction at reliance digital,59659.25,Electronics
2025-06-29,transaction at adidas,5626.87,Clothing
2025-08-22,transaction at nilgiris,720.88,Grocery
2025-12-28,transaction at apple store,107710.79,Electronics
2025-03-13,transaction at chai point,158.17,Food
2025-06-08,transaction at pepperfry,6077.15,Online Shopping
2025-04-17,transaction at yulu bikes,935.7,Transport
2025-04-05,transaction at boat lifestyle,129838.71,Electronics
2025-09-06,transaction at puma,6605.5,Clothing
2025-08-12,transaction at cloudnine,12257.07,Healthcare
2025-12-22,transaction at cream stone,965.4,Food
2025-08-14,transaction at 1mg,18751.65,Healthcare
2025-04-24,transaction at star bazaar,347.72,Grocery
2025-03-30,transaction at aster,17752.43,Healthcare
2025-08-18,transaction at makemytrip,15380.45,Travel
2025-02-06,transaction at act fibernet,472.02,Bills
2025-01-04,transaction at ola,457.38,Transport
2025-08-09,transaction at star bazaar,3273.11,Grocery
2025-09-25,transaction at dominos,1178.81,Food
2025-05-20,transaction at tsrtc,597.44,Transport
2025-09-18,transaction at youtube premium,615.44,Entertainment
2025-05-19,transaction at kfc,1453.0,Food
2025-03-29,transaction at vodafone idea,3962.22,Bills
2025-06-21,transaction at vistara,24608.91,Travel
2025-11-13,transaction at apple store,22777.65,Electronics
2025-12-10,transaction at noise,67605.71,Electronics
2025-09-23,transaction at flipkart,12256.15,Online Shopping
2025-01-10,transaction at meru cabs,1579.39,Transport
2025-08-20,transaction at jio fiber,3999.16,Bills
2025-10-12,transaction at pharmeasy,14753.31,Healthcare
2025-08-22,transaction at booking.com,7381.07,Travel
2025-04-20,transaction at rapido,1505.29,Transport
2025-03-06,transaction at cloudnine,1550.7,Healthcare
2025-06-11,transaction at apollo hospital,14183.56,Healthcare
2025-02-17,transaction at spencers,3201.66,Grocery
2025-06-11,transaction at pepperfry,424.82,Online Shopping
2025-10-10,transaction at property tax online,5213.97,Bills
2025-07-16,transaction at nilgiris,2877.93,Grocery
2025-05-24,transaction at vivo store,109340.31,Electronics
2025-02-24,transaction at booking.com,22509.82,Travel
2025-01-14,transaction at netmeds,8968.21,Healthcare
2025-04-11,transaction at redbus,1219.11,Transport
2025-09-30,transaction at pizza hut,1297.94,Food
2025-04-13,transaction at nike,3897.94,Clothing
2025-10-29,transaction at tsrtc,1307.97,Transport
2025-06-03,transaction at burger king,216.23,Food
2025-07-06,transaction at act fibernet,5869.12,Bills
2025-05-18,transaction at noise,114743.01,Electronics
2025-12-01,transaction at reliance fresh,2740.91,Grocery
2025-07-27,transaction at lenskart,19530.43,Online Shopping
2025-09-18,transaction at burger king,979.72,Food
2025-11-11,transaction at bigbazaar,3535.7,Grocery
2025-04-29,transaction at tata cliq,15588.18,Online Shopping
2025-06-02,transaction at metro rail,63.7,Transport
2025-09-27,transaction at subway,857.46,Food
2025-01-09,transaction at a2b,1013.95,Food
2025-11-19,transaction at cloudnine,4343.22,Healthcare
2025-06-20,transaction at boat lifestyle,61030.43,Electronics
2025-02-23,transaction at barbeque nation,1003.14,Food
2025-05-18,transaction at reliance digital,133932.78,Electronics
2025-09-05,transaction at kauvery,9389.85,Healthcare
2025-11-14,transaction at us polo,1185.75,Clothing
2025-03-09,transaction at saravana bhavan,1325.94,Food
2025-12-22,transaction at gaana,464.89,Entertainment
2025-04-27,transaction at netflix,833.04,Entertainment
2025-06-27,transaction at myntra,12430.23,Online Shopping
2025-03-02,transaction at snapdeal,12748.07,Online Shopping
2025-11-10,transaction at woodland,6977.13,Clothing
2025-03-03,transaction at ccd,1076.89,Food
2025-06-28,transaction at amazon prime,451.16,Entertainment
2025-01-29,transaction at youtube premium,707.97,Entertainment
2025-10-29,transaction at bmtc,266.49,Transport
2025-07-24,transaction at woodland,3562.18,Clothing
2025-08-01,transaction at lenskart,11971.09,Online Shopping
2025-12-07,transaction at levis,5516.14,Clothing
2025-11-18,transaction at tneb,4623.56,Bills
2025-01-17,transaction at netflix,769.57,Entertainment
2025-05-14,transaction at netmeds,15397.97,Healthcare
2025-10-01,transaction at vodafone idea,2309.54,Bills
2025-04-21,transaction at indigo,26593.08,Travel
2025-03-10,transaction at uber,419.49,Transport
2025-09-07,transaction at jio fiber,2230.22,Bills
2025-03-16,transaction at tneb,5833.66,Bills
2025-10-29,transaction at apollo hospital,15800.99,Healthcare
2025-10-31,transaction at pizza hut,137.13,Food
2025-02-28,transaction at snapdeal,15867.55,Online Shopping
2025-04-13,transaction at spencers,3400.35,Grocery
2025-08-28,transaction at cream stone,349.79,Food
2025-05-03,transaction at hp world,112728.73,Electronics
2025-04-26,transaction at starbucks,927.66,Food
2025-07-10,transaction at nike,588.6,Clothing
2025-03-19,transaction at metro rail,690.11,Transport
2025-03-19,transaction at star bazaar,3328.29,Grocery
2025-05-16,transaction at zara,2503.97,Clothing
2025-03-08,transaction at gaana,878.44,Entertainment
2025-09-21,transaction at puma,1899.67,Clothing
2025-04-27,transaction at paradise biryani,1218.52,Food
2025-03-03,transaction at wrogn,2807.77,Clothing
2025-09-21,transaction at apollo hospital,12307.85,Healthcare
2025-01-28,transaction at air india,27017.71,Travel
2025-05-31,transaction at jio fiber,5297.86,Bills
2025-12-15,transaction at tsrtc,1551.74,Transport
2025-10-13,transaction at yulu bikes,154.95,Transport
2025-03-31,transaction at lenskart,13619.91,Online Shopping
2025-06-14,transaction at gas agency,3820.89,Bills
2025-07-02,transaction at pepperfry,6851.61,Online Shopping
2025-03-28,transaction at reliance fresh,1688.13,Grocery
2025-05-26,transaction at metro rail,1927.43,Transport
2025-03-09,transaction at yulu bikes,853.17,Transport
2025-06-19,transaction at apple store,80607.73,Electronics
2025-10-29,transaction at tata cliq,5429.89,Online Shopping
2025-06-22,transaction at airasia,7592.29,Travel
2025-03-30,transaction at star bazaar,1232.51,Grocery
2025-04-13,transaction at meesho,9983.64,Online Shopping
2025-08-20,transaction at oyo,28542.97,Travel
2025-11-08,transaction at uber,909.95,Transport
2025-05-10,transaction at apple music,497.89,Entertainment
2025-07-26,transaction at airtel,1309.84,Bills
2025-05-17,transaction at myntra,3452.25,Online Shopping
2025-10-12,transaction at cream stone,804.52,Food
2025-01-28,transaction at taco bell,1071.87,Food
2025-11-08,transaction at nature's basket,4983.93,Grocery
2025-07-30,transaction at zara,5166.44,Clothing
2025-08-28,transaction at sonyliv,269.44,Entertainment
2025-12-04,transaction at vivo store,13710.93,Electronics
2025-04-10,transaction at lenskart,10162.11,Online Shopping
2025-03-23,transaction at tneb,5381.99,Bills
2025-09-03,transaction at apollo pharmacy,19202.67,Healthcare
2025-05-28,transaction at nature's basket,2537.1,Grocery
2025-09-15,transaction at pharmeasy,7546.04,Healthcare
2025-02-02,transaction at nature's basket,3266.79,Grocery
2025-09-28,transaction at h&m,630.17,Clothing
2025-07-06,transaction at barbeque nation,259.35,Food
2025-12-29,transaction at apollo hospital,8706.88,Healthcare
2025-05-01,transaction at jiomart,1246.39,Grocery
2025-06-05,transaction at gaana,894.0,Entertainment
2025-03-02,transaction at oneplus,97789.2,Electronics
2025-10-11,transaction at wrogn,1925.96,Clothing
2025-07-19,transaction at kfc,444.67,Food
2025-08-06,transaction at netmeds,1884.51,Healthcare
2025-10-16,transaction at gaana,781.06,Entertainment
2025-04-01,transaction at vivo store,94107.4,Electronics
2025-03-19,transaction at gas agency,5815.26,Bills
2025-02-22,transaction at woodland,1949.57,Clothing
2025-04-26,transaction at spotify,354.1,Entertainment
2025-11-03,transaction at netflix,407.32,Entertainment
2025-10-25,transaction at lenskart,11883.2,Online Shopping
2025-06-07,transaction at lenskart,19214.11,Online Shopping
2025-09-24,transaction at act fibernet,3926.34,Bills
2025-12-14,transaction at jiomart,1561.0,Grocery
2025-01-21,transaction at pharmeasy,19414.47,Healthcare
2025-11-11,transaction at snapdeal,15075.17,Online Shopping
2025-09-24,transaction at nature's basket,260.86,Grocery
2025-10-28,transaction at tneb,785.25,Bills
2025-07-21,transaction at cream stone,639.1,Food
2025-12-19,transaction at meesho,14621.3,Online Shopping
2025-07-29,transaction at woodland,2572.64,Clothing
2025-10-26,transaction at nilgiris,1690.2,Grocery
2025-03-18,transaction at act fibernet,1926.48,Bills
2025-03-12,transaction at flipkart,12531.42,Online Shopping
2025-04-02,transaction at spencers,2247.59,Grocery
